"","sdmt.chisq","sdmt.p","sdmt.FDR","dmt.FDR"
"9,10-diHOME",10.907369960502,0.000957824180113423,0.0507646815460114,0.0938667696511155
"9-oxoODE",6.33857054724595,0.0118140051734954,0.227317400027524,0.278463815033716
"PGF2a",6.16750318008407,0.0130118123716967,0.227317400027524,0.278463815033716
"12(13)-EpOME",6.08302779316264,0.0136486646415796,0.227317400027524,0.278463815033716
"9-HODE",5.75213778143805,0.0164686041424681,0.227317400027524,0.278463815033716
"4-HDHA",5.59087359449128,0.0180542898113069,0.227317400027524,0.278463815033716
"11-beta-PGF2a/PGF2b",4.89921885796168,0.026868846805773,0.227317400027524,0.278463815033716
"PGK2",4.75299330477234,0.029247376389556,0.227317400027524,0.278463815033716
"13-HOTrE/13-HOTrE(r)",4.68088890658844,0.0304999622704505,0.227317400027524,0.278463815033716
"13-oxoODE",4.68088890658844,0.0304999622704505,0.227317400027524,0.278463815033716
"TxB3",4.63883891382876,0.0312561425037845,0.227317400027524,0.278463815033716
"13-HODE",4.06186971424061,0.0438619089015916,0.299723044160876,0.358205589362998
"19/20-OH PGF2a",3.46582776425296,0.0626491433746072,0.372386703123526,0.439685504892838
"2,3-dinor TxB2",3.43605937176118,0.0637876642233641,0.372386703123526,0.439685504892838
"TxB2",3.34770448137029,0.0672988017693119,0.372386703123526,0.439685504892838
"8-iso PGF2a",3.06340847860234,0.0800735380198685,0.420386074604309,0.490450420371694
"11-dehydro TxB2",2.76861217699125,0.0961294740448056,0.48630204516784,0.528958003978103
"19/20-OH PGE2",2.60974302366497,0.106208971852579,0.50744286551788,0.547814696923831
"9-HOTrE",2.49226547310994,0.114406935660166,0.516015334179868,0.560016641745594
"PGE1/PGD1",2.41727438721539,0.120003566088341,0.516015334179868,0.560016641745594
"PGB2",2.16666577545952,0.141031722274363,0.564743256546772,0.628232217403979
"15-deoxy-delta12,14-PGD2",2.75162646932149,0.0971555517510801,0.564743256546772,0.528958003978103
"PGD2",2.0359000736433,0.153623221271967,0.564743256546772,0.636147576340042
"5-iPF2a-VI",2.01461052200223,0.155791243185316,0.564743256546772,0.636147576340042
"13,14-dihydro-15-keto PGF2a",1.78982065416721,0.180948015958243,0.602215639354218,0.664693720671443
"Bicyclo PGE2",1.77023104943972,0.183353487436765,0.602215639354218,0.664693720671443
"LXB4",1.73147020616657,0.188223247504527,0.602215639354218,0.664693720671443
"20-HDHA",1.67436985373047,0.195674249440781,0.602215639354218,0.664693720671443
"15-keto-PGF2a",1.63699295487295,0.200738546451406,0.602215639354218,0.664693720671443
"RvD1",1.5819557538634,0.208479207726876,0.61153900933217,0.664693720671443
"20-carboxy LTB4",1.4388424733322,0.230326745278425,0.668690550808332,0.705375657415178
"delta12-PGJ2",1.34116128088919,0.246829277796314,0.693800498587936,0.725194186306847
"6-keto PGE1",1.31440871067801,0.251597983004416,0.693800498587936,0.725194186306847
"PGD3/PGE3",1.56963341596941,0.210260258579742,0.737086894884299,0.664693720671443
"8-HDHA",1.04142961090545,0.30748921520238,0.802603437229444,0.801240782836864
"5-HEPE",1.02776067540547,0.310685201508172,0.802603437229444,0.801240782836864
"5-HETE",0.987486314096052,0.320357518298758,0.805222951399581,0.805000943417392
"14(15)-EpETE",0.92587553838776,0.33593696219647,0.818402079952676,0.82304555738135
"15-deoxy-delta12,14-PGJ2",1.03836888796468,0.308201129050168,0.818402079952676,0.801240782836864
"9(10)-EpOME",0.851717920602118,0.356066800253849,0.818402079952676,0.842586392602719
"PGA2/PGJ2",1.14057499176844,0.285530861655932,0.818402079952676,0.799486412636609
"10-HDHA",0.81374219850943,0.367016176433726,0.818402079952676,0.842586392602719
"16-HETE",0.802206011756492,0.37043462566279,0.818402079952676,0.842586392602719
"7-HDHA",0.693030625729596,0.405135461561164,0.833988572270038,0.842586392602719
"19(20)-EpDPE",0.672518917288646,0.412174773946293,0.833988572270038,0.842586392602719
"14-HDHA",0.662425115883882,0.415705089524426,0.833988572270038,0.842586392602719
"16-HDHA",0.662425115883882,0.415705089524426,0.833988572270038,0.842586392602719
"5-HETrE",0.652438645038118,0.419242147354753,0.833988572270038,0.842586392602719
"11-HDHA",0.632785563543182,0.426335388188261,0.833988572270038,0.842586392602719
"13,14-dihydro-15-keto PGE2",0.623117879881101,0.42989101663404,0.833988572270038,0.842586392602719
"Tetranor-12-HETE",0.564261295428777,0.452548379141446,0.850329510913368,0.850329510913368
"6-keto-PGF1a",0.549517020898245,0.458515106291248,0.850329510913368,0.850329510913368
"LXA4",0.527922287378708,0.467481685133707,0.850329510913368,0.850329510913368
"Maresin1",0.498944417855319,0.479964303348194,0.850329510913368,0.850329510913368
"13-HDHA",0.482363562531968,0.487353666016499,0.850329510913368,0.850329510913368
"PGF1a",0.46661605394304,0.494548075019742,0.850329510913368,0.850329510913368
"RvD2",0.466548306599225,0.494579409408795,0.850329510913368,0.850329510913368
"5,6-diHETrE",0,1,1,1
"17,18-diHETE",0,1,1,1
"12-oxoLTB4",0,1,1,1
"9-HEPE",0,1,1,1
"LTB4",0,1,1,1
"18-HEPE",0,1,1,1
"8-HEPE",0,1,1,1
"15-HEPE",0,1,1,1
"19,20-diHDPA",0,1,1,1
"9-HETE",0,1,1,1
"14,15-diHETrE",0,1,1,1
"15-HETE",0,1,1,1
"5,6-diHETE",0,1,1,1
"11-HEPE",0,1,1,1
"11,12-diHETrE",0,1,1,1
"17-HDHA",0,1,1,1
"12-HEPE",0,1,1,1
"8-HETE",0,1,1,1
"12-HETE",0,1,1,1
"8-HETrE",0,1,1,1
"5,15-diHETE",0,1,1,1
"17-HETE",0,1,1,1
"PD1",0,1,1,1
"8,9-diHETrE",0,1,1,1
"5-oxoETE",0,1,1,1
"11-HETE",0,1,1,1
"15-oxoETE",0,1,1,1
"Hepoxilin A3",0,1,1,1
"14(15)-EET",0,1,1,1
"14,15-diHETE",0,1,1,1
"18-HETE",0,1,1,1
"15-HETrE",0,1,1,1
"11(12)-EET",0,1,1,1
"PGE2/PGD2",0,1,1,1
"13,14-dihydro-15-keto PGA2",0,1,1,1
"16(17)-EpDPE",0,1,1,1
"17(18)-EpETE",0,1,1,1
"13,14-dihydro PGE1",0,1,1,1
"12-oxoETE",0,1,1,1
"13,14-dihydro-15-keto PGD2",0,1,1,1
"20-HETE",0,1,1,1
